name,profile,review_text,review_title,help_count,time_stamp,review_score,verified,product_name,product_link
DENNIS ROY,https://www.amazon.com/gp/profile/amzn1.account.AGZQQAIQJ373MAXQDJT6SBD2MRGQ/ref=cm_cr_arp_d_pdp?ie=UTF8,very good delivered great,excellent job,,2017-08-31 00:00:00,5.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
A. White,https://www.amazon.com/gp/profile/amzn1.account.AHUFJHEMUDANSG3KMYE6WXAVYF2A/ref=cm_cr_arp_d_pdp?ie=UTF8,This was delivered on Jun 12.  It stopped working on July 25.  Not happy.,Not happy with this product.,,2017-07-30 00:00:00,1.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Jan galvan,https://www.amazon.com/gp/profile/amzn1.account.AHD3NL3KPNTMZYE2IUTA5ECMKQXQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Not good,One Star,,2017-11-15 00:00:00,1.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Gene Moses,https://www.amazon.com/gp/profile/amzn1.account.AGTKCDLEXL5WKSKOJVX2BLQZ24FQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Didn't last long at all - guess that's why it was on sale...,One Star,,2017-09-22 00:00:00,1.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Jackie,https://www.amazon.com/gp/profile/amzn1.account.AH5HJQJQNWQ2JF573ITN3LTZWRYQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Leaks everywhere,One Star,,2018-04-01 00:00:00,1.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Robert Masters,https://www.amazon.com/gp/profile/amzn1.account.AGSPJXNHTCAUYCF3FBP5LMEBEQAA/ref=cm_cr_arp_d_pdp?ie=UTF8,Love it!,Love the Keurig!,,2017-11-10 00:00:00,5.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
D. C.,https://www.amazon.com/gp/profile/amzn1.account.AHXWZJHXPEDWHIYGD4UEKHIGSQUQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Perfect for one's work-space!,Need the cup to be the correct height.,,2018-01-29 00:00:00,5.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AFEXZO32PFFMTJ5EUKP3IWKX5F6Q/ref=cm_cr_arp_d_pdp?ie=UTF8,Ordered this unit to replace the 450 model that only lasted a year.  So far great coffee maker.  The coffee is even hotter than with my old unit.,Great coffee maker.,,2016-08-22 00:00:00,5.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AGLNUR5GRCL7CM2OWWWYF5GGGQXQ/ref=cm_cr_arp_d_pdp?ie=UTF8,my new travel must have,Five Stars,,2017-07-04 00:00:00,5.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Kelly Stephenson,https://www.amazon.com/gp/profile/amzn1.account.AEQXFJKE352GLFEZNRSEHSUOAKSA/ref=cm_cr_arp_d_pdp?ie=UTF8,I LOVE it! It's the perfect size for me and super easy to use.,Five Stars,,2017-09-05 00:00:00,5.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AEKN4WBUNTEAFQH3UD6XILMURMRQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Good,Five Stars,,2016-12-29 00:00:00,5.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
