name,profile,review_text,review_title,help_count,time_stamp,review_score,verified,product_name,product_link
Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AEOZETKSXCHMCK3CUZRLJMX3QVQA/ref=cm_cr_arp_d_pdp?ie=UTF8,Only worked for 3 months!,One Star,,2018-05-18 00:00:00,1.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
KR,https://www.amazon.com/gp/profile/amzn1.account.AGMM3JCVCERISRNWDNBLVWGS6L7Q/ref=cm_cr_arp_d_pdp?ie=UTF8,Very nice; great quality; packaged well; fast delivery.,Five Stars,,2015-02-10 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Ellen Quinlin,https://www.amazon.com/gp/profile/amzn1.account.AF5MNSCV5JXZ5TDE23IUGTWCZCBQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Arrived very quickly.  Was exactly as described.  We love it!!!,We love it!,,2015-02-22 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Lisa,https://www.amazon.com/gp/profile/amzn1.account.AGEC5UFOUE4Z7V65KBSZVMFJKYCA/ref=cm_cr_arp_d_pdp?ie=UTF8,I purchased it for the office. I estimate it brews around 25-35 cups a day. Brews perfect coffee every time. Well worth the money. I highly recommend it.,Great Product,,2015-10-02 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Mandy Yown,https://www.amazon.com/gp/profile/amzn1.account.AELC6LBSYZ2G56Q2XIM4ML6T6N2Q/ref=cm_cr_arp_d_pdp?ie=UTF8,Very sturdy!,Five Stars,,2015-09-08 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
PC,https://www.amazon.com/gp/profile/amzn1.account.AFNBAIQWGRXQ7SVX2KPARS63W47Q/ref=cm_cr_arp_d_pdp?ie=UTF8,Was well packaged and arrived on time.,Users seem to like the variety of coffee available and their ability to ...,,2015-11-26 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
B. Walsh,https://www.amazon.com/gp/profile/amzn1.account.AGYTMTCIWUILM7HNLWY2KH7DAH3A/ref=cm_cr_arp_d_pdp?ie=UTF8,"Despite three cleanings running a vinegar solution through it suggested by Keurig, the coffee still tasted of plastic and ithe brewer still gave off a plastic stench.  The seller ignored my complaint but Amazon refunded my money.",Plastic coffee ugh,23,2015-04-20 00:00:00,1.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Kindle Customer,https://www.amazon.com/gp/profile/amzn1.account.AG4BJMYOSWXYKDOMDAPNWCWX3YCQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"Great coffee maker, very sturdy and reliable. Cool timer fea ture has it on and ready to go when you are.  Adjustable thermostat assures the perfect temp cup of coffee  every time",Great coffee maker,,2015-02-21 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AFXKXL6YTEKMEJMB7H4J5VVAZLIA/ref=cm_cr_arp_d_pdp?ie=UTF8,Good product.,Five Stars,,2016-12-30 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Randy,https://www.amazon.com/gp/profile/amzn1.account.AGANBREYTC3AGD443IEDJLZO4IXQ/ref=cm_cr_arp_d_pdp?ie=UTF8,love it,Five Stars,,2016-12-04 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AFGDBKFSQ6WKXPWSLLVEPU6ZBCUQ/ref=cm_cr_arp_d_pdp?ie=UTF8,I love it! It works perfectly!,Five Stars,,2018-01-22 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Marlene Wirtel,https://www.amazon.com/gp/profile/amzn1.account.AFRCJGYWXZ3RR7QIYESKPJBIQITQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Just what we needed and expected. Good job.,Great model for our American Legion.,,2016-12-31 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Joe Harkness,https://www.amazon.com/gp/profile/amzn1.account.AFUXLIXLDOAPZAXFDE7OORHEBTQQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Love it great machine,Great machine,,2018-08-13 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
